,address,business_id,city,is_open,latitude,longitude,name,postal_code,review_count,stars,state,Sunday_Open,Sunday_Close,Monday_Open,Monday_Close,Tuesday_Open,Tuesday_Close,Wednesday_Open,Wednesday_Close,Thursday_Open,Thursday_Close,Friday_Open,Friday_Close,Saturday_Open,Saturday_Close,Noise Level,Attire,Alcohol,Price_Range,Delivery,Outdoor_Seating,Drive-Thru,Good_for_Groups,Has_TV,Caters,Waiter_Service,Good_for_Kids,Accepts_Credit_Cards,Takes_Reservations,Wi_Fi,Happy_Hour,Good_for_Dancing,Smoking,BYOB,Corkage,Take_Out,Coat_Check,Parking_Street,Parking_Valet,Parking_Lot,Parking_Garage,Parking_Validated,Music_DJ,Music_Karaoke,Music_Video,Music_Live,Music_Jukebox,Music_Background_Music,Is_Restaurants,Sandwiches,Fast Food,Nightlife,Pizza,Bars,Mexican,Food,American (Traditional),Burgers,Chinese,Italian,American (New),Breakfast & Brunch,Thai,Indian,Sushi Bars,Korean,Mediterranean,Japanese,Seafood,Middle Eastern,Pakistani,Barbeque,Vietnamese,Asian Fusion,Diners,Greek,Vegetarian
0,2818 E Camino Acequia Drive,1SWheh84yJXfytovILXOAQ,Phoenix,0,33.5221425,-112.0184807,Arizona Biltmore Golf Club,85016,5,3.0,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,30 Eglinton Avenue W,QXAEGFB4oINsVuTFxEYKFQ,Mississauga,1,43.605498974300005,-79.65228890899999,Emerald Chinese Restaurant,L5R 3E7,128,2.5,ON,9,0,9,0,9,0,9,0,9,0,9,1,9,1,,,u'full_bar',,,,,,,True,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,"10110 Johnston Rd, Ste 15",gnKjwL_1w79qoiV3IC_xQQ,Charlotte,1,35.092564,-80.85913199999999,Musashi Japanese Restaurant,28210,170,4.0,NC,17,2,17,2,0,0,17,2,17,2,17,2,17,2,,,u'beer_and_wine',,,,,,,False,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3,"15655 W Roosevelt St, Ste 237",xvX2CttrVhyG2z1dFg_0xw,Goodyear,1,33.4556129678,-112.3955963552,Farmers Insurance - Paul Lorenz,85338,3,5.0,AZ,0,0,8,1,8,1,8,1,8,1,8,1,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"4209 Stuart Andrew Blvd, Ste F",HhyxOkGAM07SRYtlQ4wMFQ,Charlotte,1,35.1900119,-80.88722320000001,Queen City Plumbing,28217,4,4.0,NC,7,2,7,2,7,2,7,2,7,2,7,2,7,2,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Credit Valley Town Plaza, F2 - 6045 Creditview Rd",68dUKd8_8liJ7in4aWOSEA,Mississauga,1,43.599475299999995,-79.7115835,The UPS Store,L5V 0B1,3,2.5,ON,0,0,9,1,9,2,9,2,9,2,9,1,10,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,20 Douglas Woods Drive Southeast,5JucpCfHZltJh5r1JabjDg,Calgary,1,50.9436456,-114.0018283,Edgeworxx Studio,T2Z 1K4,7,3.5,AB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"4545 E Tropicana Rd Ste 8, Tropicana",gbQN7vr_caG_A1ugSmGhWg,Las Vegas,1,36.099872,-115.074574,Supercuts,89121,3,3.5,NV,10,1,10,1,10,1,10,1,10,1,10,1,10,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,5940 W Union Hills Dr,Y6iyemLX_oylRpnr38vgMA,Glendale,0,33.6548146,-112.1885676,Vita Bella Fine Day Spa,85308,8,5.0,AZ,0,0,0,0,12,1,10,1,12,1,10,1,10,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,21689 Lorain Rd,4GBVPIYRvzGh4K4TkRQ_rw,Fairview Park,1,41.4408252653,-81.8540965503,Options Salon & Spa,44126,8,4.5,OH,0,0,0,0,9,2,9,2,9,2,9,1,9,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"1210 8th Street SW, Unit 220",fcXOEZdXYeZqnQ3lGlOXmg,Calgary,1,51.041771000000004,-114.08110900000001,Nucleus Information Service,T2R 1L3,5,2.0,AB,0,0,9,1,9,1,9,1,9,1,9,1,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2450 E Indian School Rd,1Dfx3zM-rW4n-31KeC8sJg,Phoenix,1,33.4951941,-112.0285876,Taco Bell,85016,18,3.0,AZ,7,0,7,0,7,0,7,0,7,1,7,1,7,1,,,u'none',,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"119 Landings Dr, Ste 101",5t3KVdMnFgAYmSl1wYLhmA,Mooresville,1,35.5274098057,-80.8680032061,The Kilted Buffalo Langtree,28117,9,3.5,NC,12,1,10,1,10,1,10,1,10,1,10,1,10,1,,,'beer_and_wine',,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,5981 Andrews Rd,fweCYi8FmbJXHCqLnwuk8w,Mentor-on-the-Lake,1,41.70852,-81.35955600000001,Marco's Pizza,44060,16,4.0,OH,10,0,10,0,10,0,10,0,10,0,10,1,10,1,,,u'none',,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4145 Erie St,-K4gAv8_vjx8-2BxkVeRkA,Willoughby,1,41.6398599,-81.4063963,Baby Cakes,44094,7,3.0,OH,0,0,0,0,11,1,11,1,11,2,11,1,10,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1455 16th Avenue,A98xW4qb7vOTguggHFs7Ng,Richmond Hill,1,43.86150257600001,-79.3884991854,Hot Yoga Wellness,L4B 3G6,4,4.0,ON,17,1,16,2,16,2,16,2,16,2,16,2,15,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"4848 E Cactus Rd, Ste 100",giC3pVVFxCRR89rApqklyw,Scottsdale,1,33.600071,-111.97737099999999,Knot Salon,85254,5,5.0,AZ,0,0,0,0,9,1,9,1,9,1,8,1,8,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"1775 E Tropicana Ave, Ste 29",PZ-LZzSlhSe9utkQYU8pFg,Las Vegas,0,36.10001629999999,-115.12852849999999,Carluccio's Tivoli Gardens,89119,40,4.0,NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,u'full_bar',,,,,,,True,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,,nh_kQ16QAoXWwqZ05MPfBQ,Las Vegas,1,36.1165487,-115.0881146,Myron Hensel Photography,89121,21,5.0,NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"445 King Street W, Suite 101",zSpQmEBvRe3IhTUlMSA6HQ,Toronto,1,43.6450415,-79.39579859999999,Totum Life Science,M5V 1K4,23,4.0,ON,9,1,6,2,6,2,6,2,6,2,6,2,8,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"450 Fremont St, Ste 179",dFMxzHygTy6F873843dHAA,Las Vegas,1,36.169993,-115.140685,Fremont Arcade,89101,38,4.5,NV,11,0,11,0,11,0,11,0,11,0,11,1,11,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"3650 N 5th, Ste 100",lxnuq9wJiwLOPJ4uZU2ljg,North Las Vegas,1,36.225851500000005,-115.1328004,Las Vegas Motorcars,89032,3,3.5,NV,0,0,9,1,9,1,9,1,9,1,9,1,10,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6007 Dean Martin Dr,KWywu2tTEPWmR9JnBc0WyQ,Las Vegas,1,36.0801679,-115.1827558,Hunk Mansion,89118,107,4.0,NV,19,2,0,0,0,0,0,0,19,2,19,3,19,3,,,u'full_bar',,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
